Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
frankl_rodl,6,10,Maximum Degree Greedy,11.563333333333333,10,12
frankl_rodl,6,10,Greedy Independent Cover,10.0,10,10
frankl_rodl,6,10,Sorted ListLeft,13.0,13,13
frankl_rodl,6,10,Sorted ListRight,14.0,14,14
frankl_rodl,6,10,DFS,11.0,11,11
frankl_rodl,7,15,Maximum Degree Greedy,0.0,0,0
frankl_rodl,7,15,Greedy Independent Cover,0.0,0,0
frankl_rodl,7,15,Sorted ListLeft,0.0,0,0
frankl_rodl,7,15,Sorted ListRight,0.0,0,0
frankl_rodl,7,15,DFS,0.0,0,0
frankl_rodl,8,21,Maximum Degree Greedy,0.0,0,0
frankl_rodl,8,21,Greedy Independent Cover,0.0,0,0
frankl_rodl,8,21,Sorted ListLeft,0.0,0,0
frankl_rodl,8,21,Sorted ListRight,0.0,0,0
frankl_rodl,8,21,DFS,0.0,0,0
frankl_rodl,9,28,Maximum Degree Greedy,0.0,0,0
frankl_rodl,9,28,Greedy Independent Cover,0.0,0,0
frankl_rodl,9,28,Sorted ListLeft,0.0,0,0
frankl_rodl,9,28,Sorted ListRight,0.0,0,0
frankl_rodl,9,28,DFS,0.0,0,0
frankl_rodl,10,36,Maximum Degree Greedy,0.0,0,0
frankl_rodl,10,36,Greedy Independent Cover,0.0,0,0
frankl_rodl,10,36,Sorted ListLeft,0.0,0,0
frankl_rodl,10,36,Sorted ListRight,0.0,0,0
frankl_rodl,10,36,DFS,0.0,0,0
frankl_rodl,11,45,Maximum Degree Greedy,0.0,0,0
frankl_rodl,11,45,Greedy Independent Cover,0.0,0,0
frankl_rodl,11,45,Sorted ListLeft,0.0,0,0
frankl_rodl,11,45,Sorted ListRight,0.0,0,0
frankl_rodl,11,45,DFS,0.0,0,0
frankl_rodl,12,55,Maximum Degree Greedy,62.266666666666666,57,63
frankl_rodl,12,55,Greedy Independent Cover,55.0,55,55
frankl_rodl,12,55,Sorted ListLeft,58.0,58,58
frankl_rodl,12,55,Sorted ListRight,65.0,65,65
frankl_rodl,12,55,DFS,62.0,62,62
frankl_rodl,13,66,Maximum Degree Greedy,0.0,0,0
frankl_rodl,13,66,Greedy Independent Cover,0.0,0,0
frankl_rodl,13,66,Sorted ListLeft,0.0,0,0
frankl_rodl,13,66,Sorted ListRight,0.0,0,0
frankl_rodl,13,66,DFS,0.0,0,0
frankl_rodl,14,78,Maximum Degree Greedy,0.0,0,0
frankl_rodl,14,78,Greedy Independent Cover,0.0,0,0
frankl_rodl,14,78,Sorted ListLeft,0.0,0,0
frankl_rodl,14,78,Sorted ListRight,0.0,0,0
frankl_rodl,14,78,DFS,0.0,0,0
frankl_rodl,15,91,Maximum Degree Greedy,0.0,0,0
frankl_rodl,15,91,Greedy Independent Cover,0.0,0,0
frankl_rodl,15,91,Sorted ListLeft,0.0,0,0
frankl_rodl,15,91,Sorted ListRight,0.0,0,0
frankl_rodl,15,91,DFS,0.0,0,0
frankl_rodl,16,105,Maximum Degree Greedy,0.0,0,0
frankl_rodl,16,105,Greedy Independent Cover,0.0,0,0
frankl_rodl,16,105,Sorted ListLeft,0.0,0,0
frankl_rodl,16,105,Sorted ListRight,0.0,0,0
frankl_rodl,16,105,DFS,0.0,0,0
frankl_rodl,17,120,Maximum Degree Greedy,132.22333333333333,125,133
frankl_rodl,17,120,Greedy Independent Cover,120.0,120,120
frankl_rodl,17,120,Sorted ListLeft,123.0,123,123
frankl_rodl,17,120,Sorted ListRight,135.0,135,135
frankl_rodl,17,120,DFS,132.0,132,132
frankl_rodl,18,136,Maximum Degree Greedy,149.19666666666666,144,150
frankl_rodl,18,136,Greedy Independent Cover,136.0,136,136
frankl_rodl,18,136,Sorted ListLeft,139.0,139,139
frankl_rodl,18,136,Sorted ListRight,152.0,152,152
frankl_rodl,18,136,DFS,149.0,149,149
