Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,10,4,Maximum Degree Greedy,4.0,4,4
tree,10,4,Greedy Independent Cover,4.0,4,4
tree,10,4,Sorted ListLeft,4.0,4,4
tree,10,4,Sorted ListRight,8.0,8,8
tree,10,4,DFS,5.0,5,5
tree,15,7,Maximum Degree Greedy,7.0,7,7
tree,15,7,Greedy Independent Cover,7.0,7,7
tree,15,7,Sorted ListLeft,7.0,7,7
tree,15,7,Sorted ListRight,13.0,13,13
tree,15,7,DFS,8.0,8,8
tree,20,9,Maximum Degree Greedy,9.686666666666667,9,10
tree,20,9,Greedy Independent Cover,9.0,9,9
tree,20,9,Sorted ListLeft,11.0,11,11
tree,20,9,Sorted ListRight,16.0,16,16
tree,20,9,DFS,13.0,13,13
tree,25,12,Maximum Degree Greedy,12.0,12,12
tree,25,12,Greedy Independent Cover,12.0,12,12
tree,25,12,Sorted ListLeft,13.0,13,13
tree,25,12,Sorted ListRight,20.0,20,20
tree,25,12,DFS,17.0,17,17
tree,30,13,Maximum Degree Greedy,13.0,13,13
tree,30,13,Greedy Independent Cover,13.0,13,13
tree,30,13,Sorted ListLeft,13.0,13,13
tree,30,13,Sorted ListRight,22.0,22,22
tree,30,13,DFS,20.0,20,20
tree,35,15,Maximum Degree Greedy,15.71,15,16
tree,35,15,Greedy Independent Cover,15.0,15,15
tree,35,15,Sorted ListLeft,17.0,17,17
tree,35,15,Sorted ListRight,28.0,28,28
tree,35,15,DFS,21.0,21,21
tree,40,17,Maximum Degree Greedy,18.0,18,18
tree,40,17,Greedy Independent Cover,17.0,17,17
tree,40,17,Sorted ListLeft,18.0,18,18
tree,40,17,Sorted ListRight,34.0,34,34
tree,40,17,DFS,23.0,23,23
tree,45,19,Maximum Degree Greedy,19.176666666666666,19,20
tree,45,19,Greedy Independent Cover,19.0,19,19
tree,45,19,Sorted ListLeft,23.0,23,23
tree,45,19,Sorted ListRight,37.0,37,37
tree,45,19,DFS,29.0,29,29
tree,50,22,Maximum Degree Greedy,22.596666666666668,22,24
