Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
erdosReniy,20,10,ACO,10.0,10,10
erdosReniy,20,10,ACO,10.0,10,10
erdosReniy,20,10,ACO,10.79,10,11
erdosReniy,20,10,ACO,10.223333333333333,10,11
erdosReniy,20,10,ACO,11.0,11,11
erdosReniy,20,10,ACO,10.046666666666667,10,11
erdosReniy,20,10,ACO,10.0,10,10
erdosReniy,20,10,ACO,10.0,10,10
erdosReniy,20,10,ACO,11.0,11,11
erdosReniy,20,10,ACO,10.0,10,10
erdosReniy,20,10,ACO,10.0,10,10
erdosReniy,20,10,ACO,10.0,10,10
erdosReniy,20,10,ACO,12.936666666666667,12,13
erdosReniy,20,11,ACO,11.826666666666666,11,12
erdosReniy,20,11,ACO,12.57,11,13
erdosReniy,20,11,ACO,11.0,11,11
erdosReniy,20,11,ACO,11.093333333333334,11,12
erdosReniy,20,11,ACO,11.686666666666667,11,12
erdosReniy,20,11,ACO,12.073333333333334,12,13
erdosReniy,20,11,ACO,11.343333333333334,11,12
erdosReniy,20,11,ACO,12.163333333333334,12,14
erdosReniy,20,11,ACO,12.0,12,12
erdosReniy,20,11,ACO,12.14,11,13
erdosReniy,20,11,ACO,13.0,13,13
erdosReniy,20,11,ACO,11.003333333333334,11,12
erdosReniy,20,11,ACO,12.006666666666666,12,13
erdosReniy,20,11,ACO,11.0,11,11
erdosReniy,20,11,ACO,12.056666666666667,12,14
erdosReniy,20,12,ACO,13.02,13,14
erdosReniy,20,12,ACO,12.016666666666667,12,13
erdosReniy,20,12,ACO,12.0,12,12
erdosReniy,20,12,ACO,12.983333333333333,12,13
erdosReniy,20,12,ACO,12.95,12,13
erdosReniy,20,12,ACO,13.25,12,14
erdosReniy,20,12,ACO,12.39,12,13
erdosReniy,20,12,ACO,12.406666666666666,12,13
erdosReniy,20,12,ACO,12.153333333333334,12,13
erdosReniy,20,12,ACO,12.006666666666666,12,13
erdosReniy,20,12,ACO,12.876666666666667,12,13
erdosReniy,20,12,ACO,12.91,12,13
erdosReniy,20,12,ACO,12.026666666666667,12,13
erdosReniy,20,12,ACO,13.0,13,13
erdosReniy,20,12,ACO,14.0,14,14
erdosReniy,20,12,ACO,13.846666666666666,13,15
erdosReniy,20,13,ACO,14.76,14,15
erdosReniy,20,13,ACO,14.78,14,15
erdosReniy,20,13,ACO,13.17,13,14
erdosReniy,20,13,ACO,13.996666666666666,13,14
erdosReniy,20,13,ACO,13.99,13,14
erdosReniy,20,13,ACO,14.343333333333334,14,16
erdosReniy,20,13,ACO,14.213333333333333,13,15
erdosReniy,20,13,ACO,14.853333333333333,13,15
erdosReniy,20,13,ACO,13.783333333333333,13,14
erdosReniy,20,13,ACO,14.436666666666667,14,15
erdosReniy,20,13,ACO,13.996666666666666,13,14
erdosReniy,20,13,ACO,14.0,14,14
erdosReniy,20,13,ACO,13.85,13,14
erdosReniy,20,13,ACO,14.0,14,14
erdosReniy,20,13,ACO,13.926666666666666,13,14
erdosReniy,20,13,ACO,13.0,13,13
erdosReniy,20,13,ACO,13.303333333333333,13,14
erdosReniy,20,13,ACO,14.14,13,15
erdosReniy,20,13,ACO,14.99,14,15
erdosReniy,20,13,ACO,13.156666666666666,13,14
erdosReniy,20,13,ACO,13.95,13,15
erdosReniy,20,13,ACO,14.566666666666666,13,15
erdosReniy,20,13,ACO,13.853333333333333,13,14
erdosReniy,20,14,ACO,14.38,14,15
erdosReniy,20,14,ACO,15.956666666666667,15,16
erdosReniy,20,14,ACO,15.0,15,15
erdosReniy,20,14,ACO,14.956666666666667,14,15
erdosReniy,20,14,ACO,15.0,15,15
erdosReniy,20,14,ACO,16.0,16,16
erdosReniy,20,14,ACO,14.063333333333333,14,15
erdosReniy,20,14,ACO,15.0,15,15
erdosReniy,20,14,ACO,15.0,15,15
erdosReniy,20,14,ACO,15.296666666666667,15,16
erdosReniy,20,14,ACO,15.0,15,15
erdosReniy,20,14,ACO,15.0,15,15
erdosReniy,20,14,ACO,15.113333333333333,14,16
erdosReniy,20,14,ACO,14.936666666666667,14,15
erdosReniy,20,14,ACO,15.953333333333333,15,16
erdosReniy,20,14,ACO,14.0,14,14
erdosReniy,20,14,ACO,14.0,14,14
erdosReniy,20,14,ACO,15.0,15,15
erdosReniy,20,14,ACO,15.823333333333334,15,16
erdosReniy,20,14,ACO,15.95,15,16
erdosReniy,20,14,ACO,16.0,16,16
erdosReniy,20,14,ACO,15.0,15,15
erdosReniy,20,14,ACO,16.0,16,16
erdosReniy,20,14,ACO,14.0,14,14
erdosReniy,20,15,ACO,16.0,16,16
erdosReniy,20,15,ACO,15.99,15,16
erdosReniy,20,15,ACO,15.0,15,15
erdosReniy,20,15,ACO,17.0,17,17
erdosReniy,20,15,ACO,16.976666666666667,16,17
erdosReniy,20,15,ACO,15.996666666666666,15,16
erdosReniy,20,15,ACO,15.863333333333333,15,16
erdosReniy,20,15,ACO,15.213333333333333,15,16
erdosReniy,20,15,ACO,16.003333333333334,16,17
erdosReniy,20,15,ACO,15.02,15,16
erdosReniy,20,15,ACO,16.0,16,16
erdosReniy,20,15,ACO,16.0,16,16
erdosReniy,20,15,ACO,15.023333333333333,15,16
erdosReniy,20,15,ACO,15.0,15,15
