Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
erdosReniy,20,10,Memetic,4.056666666666667,0,17
erdosReniy,20,10,Maximum Degree Greedy,10.31,10,11
erdosReniy,20,10,Greedy Independent Cover,10.0,10,10
erdosReniy,20,10,Sorted ListLeft,10.55,10,11
erdosReniy,20,10,Sorted ListRight,16.656666666666666,16,17
erdosReniy,20,10,DFS,12.0,12,12
erdosReniy,20,10,Local Search,10.34,10,11
erdosReniy,20,10,Matching Based,16.0,16,16
erdosReniy,20,10,Genetic,4.326666666666667,0,18
erdosReniy,20,10,Minimum Degree Greedy,19.0,19,19
erdosReniy,20,10,Primal Dual,16.0,16,16
erdosReniy,20,10,PSO,0.6966666666666667,0,2
erdosReniy,20,10,Approximate matching,11.146666666666667,10,13
erdosReniy,20,10,Bar Yehuda Even,14.993333333333334,12,18
erdosReniy,20,10,Degree Reduction,11.0,11,11
erdosReniy,20,10,Edge Deletion,11.17,10,13
erdosReniy,20,10,Harmony Search,4.08,0,19
erdosReniy,20,10,Local Search Ratio,11.096666666666666,10,13
erdosReniy,20,10,ACO,20.0,20,20
erdosReniy,20,10,ILS,10.306666666666667,10,11
erdosReniy,20,10,VNS,10.723333333333333,10,13
erdosReniy,20,10,Memetic,4.01,0,17
erdosReniy,20,10,Maximum Degree Greedy,10.243333333333334,10,11
erdosReniy,20,10,Greedy Independent Cover,10.0,10,10
erdosReniy,20,10,Sorted ListLeft,11.91,11,13
erdosReniy,20,10,Sorted ListRight,16.39,16,17
erdosReniy,20,10,DFS,13.0,13,13
erdosReniy,20,10,Local Search,11.0,11,11
erdosReniy,20,10,Matching Based,16.0,16,16
erdosReniy,20,10,Genetic,4.153333333333333,0,18
erdosReniy,20,10,Minimum Degree Greedy,19.0,19,19
erdosReniy,20,10,Primal Dual,16.0,16,16
erdosReniy,20,10,PSO,0.79,0,2
erdosReniy,20,10,Approximate matching,12.28,11,14
erdosReniy,20,10,Bar Yehuda Even,15.366666666666667,12,18
erdosReniy,20,10,Degree Reduction,11.0,11,11
erdosReniy,20,10,Edge Deletion,12.306666666666667,11,14
erdosReniy,20,10,Harmony Search,3.6666666666666665,0,17
erdosReniy,20,10,Local Search Ratio,12.35,11,14
erdosReniy,20,10,ACO,20.0,20,20
erdosReniy,20,10,ILS,10.94,10,11
erdosReniy,20,10,VNS,11.646666666666667,10,14
erdosReniy,20,10,Memetic,2.61,0,18
erdosReniy,20,10,Maximum Degree Greedy,10.483333333333333,10,11
erdosReniy,20,10,Greedy Independent Cover,10.2,10,12
erdosReniy,20,10,Sorted ListLeft,11.0,11,11
erdosReniy,20,10,Sorted ListRight,19.0,19,19
erdosReniy,20,10,DFS,14.0,14,14
erdosReniy,20,10,Local Search,10.43,10,11
erdosReniy,20,10,Matching Based,14.0,14,14
erdosReniy,20,10,Genetic,2.29,0,18
erdosReniy,20,10,Minimum Degree Greedy,19.0,19,19
erdosReniy,20,10,Primal Dual,14.0,14,14
erdosReniy,20,10,PSO,0.74,0,2
erdosReniy,20,10,Approximate matching,11.483333333333333,10,14
erdosReniy,20,10,Bar Yehuda Even,15.793333333333333,10,18
erdosReniy,20,10,Degree Reduction,11.0,11,11
erdosReniy,20,10,Edge Deletion,11.44,10,14
erdosReniy,20,10,Harmony Search,3.2066666666666666,0,18
erdosReniy,20,10,Local Search Ratio,11.52,10,14
erdosReniy,20,10,ACO,20.0,20,20
erdosReniy,20,10,ILS,10.446666666666667,10,11
erdosReniy,20,10,VNS,11.073333333333334,10,13
erdosReniy,20,10,Memetic,2.513333333333333,0,18
erdosReniy,20,10,Maximum Degree Greedy,10.826666666666666,10,11
erdosReniy,20,10,Greedy Independent Cover,10.0,10,10
erdosReniy,20,10,Sorted ListLeft,11.316666666666666,11,12
