Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
regular,28,16,ACO,18.023333333333333,17,19
regular,28,17,ACO,19.173333333333332,17,21
regular,28,18,ACO,21.206666666666667,19,23
regular,28,19,ACO,22.273333333333333,20,26
regular,28,19,ACO,23.94333333333333,23,25
regular,28,21,ACO,23.643333333333334,22,25
regular,40,22,ACO,26.263333333333332,24,29
regular,40,24,ACO,29.893333333333334,27,31
regular,40,26,ACO,33.87,32,35
regular,40,26,ACO,29.92,28,31
regular,40,28,ACO,32.71,30,34
regular,40,28,ACO,35.43333333333333,33,37
regular,52,29,ACO,33.70333333333333,31,37
regular,52,31,ACO,38.553333333333335,36,40
regular,52,33,ACO,39.85333333333333,38,42
regular,52,34,ACO,42.31,39,45
regular,52,36,ACO,42.42333333333333,41,44
regular,52,37,ACO,44.04,41,46
regular,64,36,ACO,41.70333333333333,39,45
regular,64,38,ACO,44.78,42,49
regular,64,41,ACO,49.446666666666665,47,52
regular,64,42,ACO,53.52333333333333,50,57
regular,64,44,ACO,55.04333333333334,51,58
regular,64,46,ACO,56.38666666666666,54,58
regular,76,42,ACO,52.35333333333333,49,54
regular,76,45,ACO,57.056666666666665,54,61
regular,76,48,ACO,60.70333333333333,56,64
regular,76,51,ACO,63.11666666666667,60,66
regular,76,52,ACO,62.10333333333333,60,68
regular,76,53,ACO,65.46333333333334,62,69
regular,98,55,ACO,68.26,64,73
regular,98,59,ACO,74.73,72,77
regular,98,62,ACO,74.80333333333333,72,78
regular,98,64,ACO,80.77333333333333,77,84
regular,98,67,ACO,85.85333333333334,83,89
regular,98,68,ACO,85.98666666666666,84,90
