Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
regular,28,16,Memetic,1.6466666666666667,0,24
regular,28,16,Maximum Degree Greedy,17.5,16,20
regular,28,16,Greedy Independent Cover,16.46,16,17
regular,28,16,Sorted ListLeft,21.05666666666667,18,25
regular,28,16,Sorted ListRight,21.046666666666667,18,24
regular,28,16,DFS,23.0,23,23
regular,28,16,Local Search,17.80666666666667,16,20
regular,28,16,Matching Based,26.0,26,26
regular,28,16,Genetic,1.4066666666666667,0,22
regular,28,16,Minimum Degree Greedy,27.0,27,27
regular,28,16,Primal Dual,26.0,26,26
regular,28,16,PSO,2.546666666666667,1,4
regular,28,16,Approximate matching,19.946666666666665,17,22
regular,28,16,Bar Yehuda Even,24.506666666666668,20,28
regular,28,16,Degree Reduction,17.0,17,17
regular,28,16,Edge Deletion,19.99,17,23
regular,28,16,Harmony Search,4.74,1,23
regular,28,16,Local Search Ratio,20.0,18,22
regular,28,16,ACO,28.0,28,28
regular,28,16,ILS,17.67,16,20
regular,28,16,VNS,18.726666666666667,16,22
regular,28,17,Memetic,1.2866666666666666,0,23
regular,28,17,Maximum Degree Greedy,18.473333333333333,17,21
regular,28,17,Greedy Independent Cover,17.33,17,19
regular,28,17,Sorted ListLeft,22.383333333333333,19,26
regular,28,17,Sorted ListRight,22.46,20,25
regular,28,17,DFS,23.0,23,23
regular,28,17,Local Search,18.643333333333334,18,20
regular,28,17,Matching Based,26.0,26,26
regular,28,17,Genetic,1.1033333333333333,0,23
regular,28,17,Minimum Degree Greedy,27.0,27,27
regular,28,17,Primal Dual,26.0,26,26
regular,28,17,PSO,2.4966666666666666,0,4
regular,28,17,Approximate matching,20.843333333333334,18,23
regular,28,17,Bar Yehuda Even,24.953333333333333,20,28
regular,28,17,Degree Reduction,17.0,17,17
regular,28,17,Edge Deletion,20.88,18,23
regular,28,17,Harmony Search,4.736666666666666,1,20
regular,28,17,Local Search Ratio,20.97,18,23
regular,28,17,ACO,28.0,28,28
regular,28,17,ILS,18.673333333333332,17,20
regular,28,17,VNS,19.7,17,23
regular,28,18,Memetic,1.1633333333333333,0,21
regular,28,18,Maximum Degree Greedy,19.593333333333334,18,21
regular,28,18,Greedy Independent Cover,18.893333333333334,18,20
regular,28,18,Sorted ListLeft,23.283333333333335,20,26
regular,28,18,Sorted ListRight,23.436666666666667,20,26
regular,28,18,DFS,23.0,23,23
regular,28,18,Local Search,20.033333333333335,19,21
regular,28,18,Matching Based,28.0,28,28
regular,28,18,Genetic,1.2133333333333334,0,24
regular,28,18,Minimum Degree Greedy,27.0,27,27
regular,28,18,Primal Dual,28.0,28,28
regular,28,18,PSO,2.44,0,4
regular,28,18,Approximate matching,22.723333333333333,20,25
regular,28,18,Bar Yehuda Even,25.286666666666665,22,28
regular,28,18,Degree Reduction,19.0,19,19
regular,28,18,Edge Deletion,22.746666666666666,20,25
regular,28,18,Harmony Search,4.6,1,21
regular,28,18,Local Search Ratio,22.773333333333333,19,25
regular,28,18,ACO,28.0,28,28
regular,28,18,ILS,19.85,19,21
regular,28,18,VNS,20.916666666666668,19,25
regular,28,19,Memetic,1.0933333333333333,0,2
regular,28,19,Maximum Degree Greedy,20.24,19,22
regular,28,19,Greedy Independent Cover,19.766666666666666,19,21
regular,28,19,Sorted ListLeft,24.12,21,27
regular,28,19,Sorted ListRight,23.923333333333332,21,27
regular,28,19,DFS,23.0,23,23
regular,28,19,Local Search,20.2,20,22
regular,28,19,Matching Based,28.0,28,28
regular,28,19,Genetic,1.2033333333333334,0,22
regular,28,19,Minimum Degree Greedy,27.0,27,27
regular,28,19,Primal Dual,28.0,28,28
regular,28,19,PSO,2.4566666666666666,0,4
regular,28,19,Approximate matching,22.39,20,25
regular,28,19,Bar Yehuda Even,25.593333333333334,22,28
