Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
anti_mdg,26,6,Maximum Degree Greedy,6.0,6,6
anti_mdg,26,6,Greedy Independent Cover,6.0,6,6
anti_mdg,26,6,Sorted ListLeft,8.0,8,8
anti_mdg,26,6,Sorted ListRight,23.0,23,23
anti_mdg,26,6,DFS,11.0,11,11
anti_mdg,30,7,Maximum Degree Greedy,7.0,7,7
anti_mdg,30,7,Greedy Independent Cover,7.0,7,7
anti_mdg,30,7,Sorted ListLeft,10.0,10,10
anti_mdg,30,7,Sorted ListRight,27.0,27,27
anti_mdg,30,7,DFS,13.0,13,13
anti_mdg,36,8,Maximum Degree Greedy,8.0,8,8
anti_mdg,36,8,Greedy Independent Cover,8.0,8,8
anti_mdg,36,8,Sorted ListLeft,11.0,11,11
anti_mdg,36,8,Sorted ListRight,33.0,33,33
anti_mdg,36,8,DFS,15.0,15,15
anti_mdg,41,9,Maximum Degree Greedy,9.0,9,9
anti_mdg,41,9,Greedy Independent Cover,9.0,9,9
anti_mdg,41,9,Sorted ListLeft,13.0,13,13
anti_mdg,41,9,Sorted ListRight,38.0,38,38
anti_mdg,41,9,DFS,17.0,17,17
anti_mdg,47,10,Maximum Degree Greedy,10.0,10,10
anti_mdg,47,10,Greedy Independent Cover,10.0,10,10
anti_mdg,47,10,Sorted ListLeft,14.0,14,14
anti_mdg,47,10,Sorted ListRight,43.0,43,43
anti_mdg,47,10,DFS,19.0,19,19
anti_mdg,51,11,Maximum Degree Greedy,11.0,11,11
anti_mdg,51,11,Greedy Independent Cover,11.0,11,11
anti_mdg,51,11,Sorted ListLeft,16.0,16,16
anti_mdg,51,11,Sorted ListRight,47.0,47,47
anti_mdg,51,11,DFS,21.0,21,21
anti_mdg,59,12,Maximum Degree Greedy,12.0,12,12
anti_mdg,59,12,Greedy Independent Cover,12.0,12,12
anti_mdg,59,12,Sorted ListLeft,17.0,17,17
anti_mdg,59,12,Sorted ListRight,55.0,55,55
anti_mdg,59,12,DFS,23.0,23,23
anti_mdg,63,13,Maximum Degree Greedy,13.0,13,13
anti_mdg,63,13,Greedy Independent Cover,13.0,13,13
anti_mdg,63,13,Sorted ListLeft,19.0,19,19
anti_mdg,63,13,Sorted ListRight,59.0,59,59
anti_mdg,63,13,DFS,25.0,25,25
anti_mdg,69,14,Maximum Degree Greedy,14.0,14,14
anti_mdg,69,14,Greedy Independent Cover,14.0,14,14
anti_mdg,69,14,Sorted ListLeft,20.0,20,20
anti_mdg,69,14,Sorted ListRight,64.0,64,64
anti_mdg,69,14,DFS,27.0,27,27
anti_mdg,75,15,Maximum Degree Greedy,15.0,15,15
anti_mdg,75,15,Greedy Independent Cover,15.0,15,15
anti_mdg,75,15,Sorted ListLeft,22.0,22,22
anti_mdg,75,15,Sorted ListRight,70.0,70,70
anti_mdg,75,15,DFS,29.0,29,29
anti_mdg,82,16,Maximum Degree Greedy,16.0,16,16
anti_mdg,82,16,Greedy Independent Cover,16.0,16,16
anti_mdg,82,16,Sorted ListLeft,23.0,23,23
anti_mdg,82,16,Sorted ListRight,77.0,77,77
anti_mdg,82,16,DFS,31.0,31,31
anti_mdg,86,17,Maximum Degree Greedy,17.0,17,17
anti_mdg,86,17,Greedy Independent Cover,17.0,17,17
anti_mdg,86,17,Sorted ListLeft,25.0,25,25
anti_mdg,86,17,Sorted ListRight,81.0,81,81
anti_mdg,86,17,DFS,33.0,33,33
anti_mdg,94,18,Maximum Degree Greedy,18.0,18,18
anti_mdg,94,18,Greedy Independent Cover,18.0,18,18
anti_mdg,94,18,Sorted ListLeft,26.0,26,26
anti_mdg,94,18,Sorted ListRight,88.0,88,88
anti_mdg,94,18,DFS,35.0,35,35
anti_mdg,98,19,Maximum Degree Greedy,19.0,19,19
anti_mdg,98,19,Greedy Independent Cover,19.0,19,19
anti_mdg,98,19,Sorted ListLeft,28.0,28,28
anti_mdg,98,19,Sorted ListRight,92.0,92,92
anti_mdg,98,19,DFS,37.0,37,37
anti_mdg,106,20,Maximum Degree Greedy,20.0,20,20
anti_mdg,106,20,Greedy Independent Cover,20.0,20,20
anti_mdg,106,20,Sorted ListLeft,29.0,29,29
anti_mdg,106,20,Sorted ListRight,100.0,100,100
anti_mdg,106,20,DFS,39.0,39,39
anti_mdg,112,21,Maximum Degree Greedy,21.0,21,21
anti_mdg,112,21,Greedy Independent Cover,21.0,21,21
anti_mdg,112,21,Sorted ListLeft,31.0,31,31
anti_mdg,112,21,Sorted ListRight,105.0,105,105
anti_mdg,112,21,DFS,41.0,41,41
anti_mdg,118,22,Maximum Degree Greedy,22.0,22,22
anti_mdg,118,22,Greedy Independent Cover,22.0,22,22
anti_mdg,118,22,Sorted ListLeft,32.0,32,32
anti_mdg,118,22,Sorted ListRight,111.0,111,111
anti_mdg,118,22,DFS,43.0,43,43
anti_mdg,122,23,Maximum Degree Greedy,23.0,23,23
anti_mdg,122,23,Greedy Independent Cover,23.0,23,23
anti_mdg,122,23,Sorted ListLeft,34.0,34,34
anti_mdg,122,23,Sorted ListRight,115.0,115,115
