Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
barabasi_albert,10,5,Maximum Degree Greedy,5.0,5,5
barabasi_albert,10,5,Greedy Independent Cover,5.0,5,5
barabasi_albert,10,5,Sorted ListLeft,5.0,5,5
barabasi_albert,10,5,Sorted ListRight,9.0,9,9
barabasi_albert,10,5,DFS,4.0,4,4
barabasi_albert,15,6,Maximum Degree Greedy,6.0,6,6
barabasi_albert,15,6,Greedy Independent Cover,6.0,6,6
barabasi_albert,15,6,Sorted ListLeft,6.0,6,6
barabasi_albert,15,6,Sorted ListRight,13.506666666666666,13,14
barabasi_albert,15,6,DFS,6.0,6,6
barabasi_albert,15,9,Maximum Degree Greedy,9.25,9,10
barabasi_albert,15,9,Greedy Independent Cover,9.346666666666666,9,10
barabasi_albert,15,9,Sorted ListLeft,10.0,10,10
barabasi_albert,15,9,Sorted ListRight,13.716666666666667,13,14
barabasi_albert,15,9,DFS,12.0,12,12
barabasi_albert,20,11,Maximum Degree Greedy,11.0,11,11
barabasi_albert,20,11,Greedy Independent Cover,11.023333333333333,11,12
barabasi_albert,20,11,Sorted ListLeft,11.0,11,11
barabasi_albert,20,11,Sorted ListRight,19.0,19,19
barabasi_albert,20,11,DFS,14.0,14,14
barabasi_albert,20,7,Maximum Degree Greedy,7.0,7,7
barabasi_albert,20,7,Greedy Independent Cover,7.0,7,7
barabasi_albert,20,7,Sorted ListLeft,7.0,7,7
barabasi_albert,20,7,Sorted ListRight,18.0,18,18
barabasi_albert,20,7,DFS,7.0,7,7
barabasi_albert,25,15,Maximum Degree Greedy,15.0,15,15
barabasi_albert,25,15,Greedy Independent Cover,15.083333333333334,15,16
barabasi_albert,25,15,Sorted ListLeft,16.0,16,16
barabasi_albert,25,15,Sorted ListRight,24.0,24,24
barabasi_albert,25,15,DFS,17.0,17,17
barabasi_albert,25,8,Maximum Degree Greedy,8.0,8,8
barabasi_albert,25,8,Greedy Independent Cover,8.0,8,8
barabasi_albert,25,8,Sorted ListLeft,8.523333333333333,8,9
barabasi_albert,25,8,Sorted ListRight,23.0,23,23
barabasi_albert,25,8,DFS,9.0,9,9
barabasi_albert,30,10,Maximum Degree Greedy,10.363333333333333,10,11
barabasi_albert,30,10,Greedy Independent Cover,10.0,10,10
barabasi_albert,30,10,Sorted ListLeft,11.146666666666667,10,13
barabasi_albert,30,10,Sorted ListRight,28.49,28,29
barabasi_albert,30,10,DFS,12.0,12,12
barabasi_albert,30,19,Maximum Degree Greedy,19.093333333333334,19,20
barabasi_albert,30,19,Greedy Independent Cover,19.143333333333334,19,20
barabasi_albert,30,19,Sorted ListLeft,21.14,21,22
barabasi_albert,30,19,Sorted ListRight,28.0,28,28
barabasi_albert,30,19,DFS,23.0,23,23
barabasi_albert,35,12,Maximum Degree Greedy,12.0,12,12
barabasi_albert,35,12,Greedy Independent Cover,12.0,12,12
barabasi_albert,35,12,Sorted ListLeft,12.67,12,14
barabasi_albert,35,12,Sorted ListRight,33.0,33,33
barabasi_albert,35,12,DFS,15.0,15,15
barabasi_albert,35,24,Maximum Degree Greedy,25.42,24,27
barabasi_albert,35,24,Greedy Independent Cover,24.59,24,25
barabasi_albert,35,24,Sorted ListLeft,27.46,26,28
barabasi_albert,35,24,Sorted ListRight,34.0,34,34
barabasi_albert,35,24,DFS,29.0,29,29
barabasi_albert,40,15,Maximum Degree Greedy,15.303333333333333,15,16
barabasi_albert,40,15,Greedy Independent Cover,15.0,15,15
barabasi_albert,40,15,Sorted ListLeft,15.856666666666667,15,17
barabasi_albert,40,15,Sorted ListRight,38.0,38,38
barabasi_albert,40,15,DFS,20.0,20,20
barabasi_albert,40,28,Maximum Degree Greedy,29.14,29,30
barabasi_albert,40,28,Greedy Independent Cover,28.57,28,29
barabasi_albert,40,28,Sorted ListLeft,32.16,31,33
barabasi_albert,40,28,Sorted ListRight,39.0,39,39
barabasi_albert,40,28,DFS,34.0,34,34
barabasi_albert,45,19,Maximum Degree Greedy,19.0,19,19
barabasi_albert,45,19,Greedy Independent Cover,19.0,19,19
barabasi_albert,45,19,Sorted ListLeft,19.73,19,21
barabasi_albert,45,19,Sorted ListRight,43.0,43,43
barabasi_albert,45,19,DFS,22.0,22,22
barabasi_albert,45,32,Maximum Degree Greedy,33.0,33,33
barabasi_albert,45,32,Greedy Independent Cover,32.903333333333336,32,34
barabasi_albert,45,32,Sorted ListLeft,38.513333333333335,38,39
barabasi_albert,45,32,Sorted ListRight,44.0,44,44
barabasi_albert,45,32,DFS,40.0,40,40
barabasi_albert,50,21,Maximum Degree Greedy,21.30666666666667,21,22
barabasi_albert,50,21,Greedy Independent Cover,21.04,21,22
barabasi_albert,50,21,Sorted ListLeft,22.65,22,24
barabasi_albert,50,21,Sorted ListRight,48.51,48,49
