Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
frb30,15,4,Maximum Degree Greedy,436.76,435,441
frb30,15,4,Greedy Independent Cover,435.0,435,435
frb30,15,4,Sorted ListLeft,448.0,448,448
frb30,15,4,Sorted ListRight,448.0,448,448
frb30,15,4,DFS,443.0,443,443
frb30,15,2,Maximum Degree Greedy,436.45,435,442
frb30,15,2,Greedy Independent Cover,435.0,435,435
frb30,15,2,Sorted ListLeft,448.0,448,448
frb30,15,2,Sorted ListRight,449.0,449,449
frb30,15,2,DFS,446.0,446,446
frb30,15,5,Maximum Degree Greedy,438.7633333333333,435,441
frb30,15,5,Greedy Independent Cover,435.0,435,435
frb30,15,5,Sorted ListLeft,447.0,447,447
frb30,15,5,Sorted ListRight,447.0,447,447
frb30,15,5,DFS,445.0,445,445
frb30,15,1,Maximum Degree Greedy,436.0,436,436
frb30,15,1,Greedy Independent Cover,435.0,435,435
frb30,15,1,Sorted ListLeft,443.0,443,443
frb30,15,1,Sorted ListRight,447.0,447,447
frb30,15,1,DFS,446.0,446,446
frb30,15,3,Maximum Degree Greedy,436.25333333333333,435,441
frb30,15,3,Greedy Independent Cover,435.0,435,435
frb30,15,3,Sorted ListLeft,446.0,446,446
frb30,15,3,Sorted ListRight,449.0,449,449
frb30,15,3,DFS,444.0,444,444
