Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
regular,10,6,Maximum Degree Greedy,6.323333333333333,6,7
regular,10,6,Greedy Independent Cover,6.08,6,7
regular,10,6,Sorted ListLeft,7.47,6,9
regular,10,6,Sorted ListRight,7.523333333333333,6,9
regular,10,6,DFS,7.0,7,7
regular,15,9,Maximum Degree Greedy,9.91,9,11
regular,15,9,Greedy Independent Cover,9.633333333333333,9,10
regular,15,9,Sorted ListLeft,11.92,9,14
regular,15,9,Sorted ListRight,11.986666666666666,10,14
regular,15,9,DFS,12.0,12,12
regular,20,12,Maximum Degree Greedy,12.37,12,14
regular,20,12,Greedy Independent Cover,12.006666666666666,12,13
regular,20,12,Sorted ListLeft,15.026666666666667,13,18
regular,20,12,Sorted ListRight,15.043333333333333,12,18
regular,20,12,DFS,17.0,17,17
regular,25,15,Maximum Degree Greedy,16.823333333333334,15,18
regular,25,15,Greedy Independent Cover,16.06,15,17
regular,25,15,Sorted ListLeft,20.026666666666667,16,22
regular,25,15,Sorted ListRight,20.04,16,23
regular,25,15,DFS,20.0,20,20
regular,30,17,Maximum Degree Greedy,18.843333333333334,17,20
regular,30,17,Greedy Independent Cover,17.89666666666667,17,19
regular,30,17,Sorted ListLeft,22.53,19,26
regular,30,17,Sorted ListRight,22.54,19,26
regular,30,17,DFS,27.0,27,27
regular,35,22,Maximum Degree Greedy,23.566666666666666,22,25
regular,35,22,Greedy Independent Cover,22.566666666666666,22,24
regular,35,22,Sorted ListLeft,27.956666666666667,25,32
regular,35,22,Sorted ListRight,27.826666666666668,24,31
regular,35,22,DFS,30.0,30,30
regular,40,22,Maximum Degree Greedy,24.623333333333335,22,28
regular,40,22,Greedy Independent Cover,22.856666666666666,22,25
regular,40,22,Sorted ListLeft,29.96,26,34
regular,40,22,Sorted ListRight,29.97,26,34
regular,40,22,DFS,35.0,35,35
regular,45,27,Maximum Degree Greedy,29.72,27,32
regular,45,27,Greedy Independent Cover,28.19333333333333,27,30
regular,45,27,Sorted ListLeft,35.97666666666667,32,40
regular,45,27,Sorted ListRight,35.846666666666664,31,40
regular,45,27,DFS,38.0,38,38
regular,50,28,Maximum Degree Greedy,31.05,29,34
regular,50,28,Greedy Independent Cover,29.046666666666667,28,31
regular,50,28,Sorted ListLeft,37.663333333333334,33,41
regular,50,28,Sorted ListRight,37.513333333333335,34,43
regular,50,28,DFS,43.0,43,43
regular,55,34,Maximum Degree Greedy,36.39,34,39
regular,55,34,Greedy Independent Cover,34.513333333333335,34,36
regular,55,34,Sorted ListLeft,44.03666666666667,40,48
regular,55,34,Sorted ListRight,43.973333333333336,39,49
regular,55,34,DFS,46.0,46,46
regular,60,33,Maximum Degree Greedy,37.03333333333333,35,40
regular,60,33,Greedy Independent Cover,34.526666666666664,33,36
regular,60,33,Sorted ListLeft,45.07,40,50
regular,60,33,Sorted ListRight,44.77333333333333,40,49
regular,60,33,DFS,53.0,53,53
regular,65,39,Maximum Degree Greedy,42.843333333333334,39,46
regular,65,39,Greedy Independent Cover,40.44,39,42
regular,65,39,Sorted ListLeft,51.843333333333334,46,57
regular,65,39,Sorted ListRight,52.0,48,57
regular,65,39,DFS,56.0,56,56
regular,70,40,Maximum Degree Greedy,43.75333333333333,41,46
regular,70,40,Greedy Independent Cover,41.18,40,43
regular,70,40,Sorted ListLeft,52.63333333333333,48,57
regular,70,40,Sorted ListRight,52.473333333333336,48,57
regular,70,40,DFS,60.0,60,60
regular,75,45,Maximum Degree Greedy,49.406666666666666,46,53
regular,75,45,Greedy Independent Cover,46.67666666666667,45,49
