Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,10,4,Maximum Degree Greedy,4.0,4,4
tree,10,4,Greedy Independent Cover,4.0,4,4
tree,10,4,Sorted ListLeft,4.466666666666667,4,5
tree,10,4,Sorted ListRight,7.466666666666667,7,8
tree,10,4,DFS,6.0,6,6
tree,15,7,Maximum Degree Greedy,7.0,7,7
tree,15,7,Greedy Independent Cover,7.0,7,7
tree,15,7,Sorted ListLeft,7.0,7,7
tree,15,7,Sorted ListRight,12.466666666666667,12,13
tree,15,7,DFS,8.0,8,8
tree,20,9,Maximum Degree Greedy,9.166666666666666,9,10
tree,20,9,Greedy Independent Cover,9.0,9,9
tree,20,9,Sorted ListLeft,9.763333333333334,9,11
tree,20,9,Sorted ListRight,15.876666666666667,15,17
tree,20,9,DFS,13.0,13,13
tree,25,11,Maximum Degree Greedy,11.173333333333334,11,12
tree,25,11,Greedy Independent Cover,11.0,11,11
tree,25,11,Sorted ListLeft,12.143333333333333,11,13
tree,25,11,Sorted ListRight,20.203333333333333,19,21
tree,25,11,DFS,16.0,16,16
tree,30,13,Maximum Degree Greedy,13.68,13,14
tree,30,13,Greedy Independent Cover,13.0,13,13
tree,30,13,Sorted ListLeft,14.153333333333334,14,15
tree,30,13,Sorted ListRight,24.333333333333332,24,26
tree,30,13,DFS,18.0,18,18
tree,35,15,Maximum Degree Greedy,15.0,15,15
tree,35,15,Greedy Independent Cover,15.0,15,15
tree,35,15,Sorted ListLeft,15.9,15,17
tree,35,15,Sorted ListRight,28.883333333333333,28,31
tree,35,15,DFS,20.0,20,20
tree,40,17,Maximum Degree Greedy,17.0,17,17
tree,40,17,Greedy Independent Cover,17.0,17,17
tree,40,17,Sorted ListLeft,18.303333333333335,17,19
tree,40,17,Sorted ListRight,32.196666666666665,31,34
tree,40,17,DFS,24.0,24,24
tree,45,19,Maximum Degree Greedy,19.343333333333334,19,20
tree,45,19,Greedy Independent Cover,19.0,19,19
tree,45,19,Sorted ListLeft,21.35333333333333,19,23
