Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,ACO,24.476666666666667,24,25
tree,50,23,ACO,24.493333333333332,24,25
tree,50,23,ACO,24.526666666666667,24,25
tree,50,23,ACO,24.466666666666665,24,25
tree,50,23,ACO,24.493333333333332,24,25
tree,50,23,ACO,24.46,24,25
tree,50,23,ACO,24.45,24,25
tree,50,23,ACO,24.496666666666666,24,25
tree,50,23,ACO,24.44,24,25
tree,50,23,ACO,24.48,24,25
tree,100,42,ACO,43.82333333333333,42,44
tree,100,42,ACO,43.82,42,44
tree,100,42,ACO,43.77,43,44
tree,100,42,ACO,43.843333333333334,43,44
tree,100,42,ACO,43.806666666666665,42,44
tree,100,42,ACO,43.78666666666667,42,44
tree,100,42,ACO,43.776666666666664,42,44
tree,100,42,ACO,43.843333333333334,43,44
tree,100,42,ACO,43.803333333333335,42,44
tree,100,42,ACO,43.83,42,44
tree,200,88,ACO,95.03,94,96
tree,200,88,ACO,95.02,94,96
tree,200,88,ACO,95.02333333333333,94,96
tree,200,88,ACO,95.03,94,96
tree,200,88,ACO,95.04,94,96
tree,200,88,ACO,95.03,94,96
tree,200,88,ACO,95.03,94,96
tree,200,88,ACO,95.00666666666666,94,96
tree,200,88,ACO,95.04666666666667,94,96
tree,200,88,ACO,95.04,94,96
tree,350,149,ACO,156.27666666666667,155,158
tree,350,149,ACO,156.23,156,158
tree,350,149,ACO,156.26,156,158
tree,350,149,ACO,156.21666666666667,156,159
tree,350,149,ACO,156.26666666666668,156,159
tree,350,149,ACO,156.28666666666666,156,158
tree,350,149,ACO,156.23666666666668,155,158
tree,350,149,ACO,156.25666666666666,156,158
tree,350,149,ACO,156.24,156,159
tree,350,149,ACO,156.24666666666667,156,158
