Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,Maximum Degree Greedy,23.956666666666667,23,25
tree,50,23,Greedy Independent Cover,23.0,23,23
tree,50,23,Sorted ListLeft,26.713333333333335,24,29
tree,50,23,Sorted ListRight,41.736666666666665,38,45
tree,50,23,DFS,32.0,32,32
tree,50,23,Maximum Degree Greedy,23.953333333333333,23,25
tree,50,23,Greedy Independent Cover,23.0,23,23
tree,50,23,Sorted ListLeft,26.75,24,30
tree,50,23,Sorted ListRight,41.71666666666667,39,45
tree,50,23,DFS,32.0,32,32
tree,50,23,Maximum Degree Greedy,23.956666666666667,23,25
tree,50,23,Greedy Independent Cover,23.0,23,23
tree,50,23,Sorted ListLeft,26.816666666666666,24,30
tree,50,23,Sorted ListRight,41.85333333333333,39,45
tree,50,23,DFS,32.0,32,32
tree,50,23,Maximum Degree Greedy,24.013333333333332,23,25
tree,50,23,Greedy Independent Cover,23.0,23,23
tree,50,23,Sorted ListLeft,26.783333333333335,24,30
tree,50,23,Sorted ListRight,41.79,39,44
tree,50,23,DFS,32.0,32,32
tree,50,23,Maximum Degree Greedy,23.963333333333335,23,25
tree,50,23,Greedy Independent Cover,23.0,23,23
tree,50,23,Sorted ListLeft,26.713333333333335,24,30
tree,50,23,Sorted ListRight,41.71,39,45
tree,50,23,DFS,32.0,32,32
tree,50,23,Maximum Degree Greedy,23.97,23,25
tree,50,23,Greedy Independent Cover,23.0,23,23
tree,50,23,Sorted ListLeft,26.803333333333335,24,29
tree,50,23,Sorted ListRight,41.76,38,45
tree,50,23,DFS,32.0,32,32
tree,50,23,Maximum Degree Greedy,23.936666666666667,23,25
tree,50,23,Greedy Independent Cover,23.0,23,23
tree,50,23,Sorted ListLeft,26.69333333333333,24,29
tree,50,23,Sorted ListRight,41.68,38,45
tree,50,23,DFS,32.0,32,32
tree,50,23,Maximum Degree Greedy,23.976666666666667,23,25
tree,50,23,Greedy Independent Cover,23.0,23,23
tree,50,23,Sorted ListLeft,26.75,24,30
tree,50,23,Sorted ListRight,41.78666666666667,39,45
tree,50,23,DFS,32.0,32,32
tree,50,23,Maximum Degree Greedy,23.94333333333333,23,25
tree,50,23,Greedy Independent Cover,23.0,23,23
tree,50,23,Sorted ListLeft,26.716666666666665,24,30
tree,50,23,Sorted ListRight,41.663333333333334,39,45
tree,50,23,DFS,32.0,32,32
tree,50,23,Maximum Degree Greedy,23.926666666666666,23,25
tree,50,23,Greedy Independent Cover,23.0,23,23
tree,50,23,Sorted ListLeft,26.76,24,30
tree,50,23,Sorted ListRight,41.76,38,46
tree,50,23,DFS,32.0,32,32
tree,100,42,Maximum Degree Greedy,42.946666666666665,42,45
tree,100,42,Greedy Independent Cover,42.0,42,42
tree,100,42,Sorted ListLeft,47.63666666666666,44,51
tree,100,42,Sorted ListRight,84.47333333333333,80,89
tree,100,42,DFS,58.0,58,58
tree,100,42,Maximum Degree Greedy,42.906666666666666,42,45
tree,100,42,Greedy Independent Cover,42.0,42,42
