Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,Bar Yehuda Even,39.233333333333334,34,46
tree,50,23,Bar Yehuda Even,39.03333333333333,34,44
tree,50,23,Bar Yehuda Even,38.946666666666665,34,44
tree,50,23,Bar Yehuda Even,39.42666666666667,34,44
tree,50,23,Bar Yehuda Even,39.193333333333335,32,46
tree,50,23,Bar Yehuda Even,39.03333333333333,32,46
tree,50,23,Bar Yehuda Even,39.18666666666667,32,44
tree,50,23,Bar Yehuda Even,39.18,34,46
tree,50,23,Bar Yehuda Even,39.42,34,46
tree,50,23,Bar Yehuda Even,39.413333333333334,32,46
tree,100,42,Bar Yehuda Even,72.63333333333334,64,82
tree,100,42,Bar Yehuda Even,72.86666666666666,62,80
tree,100,42,Bar Yehuda Even,73.08,64,80
tree,100,42,Bar Yehuda Even,73.22,66,82
tree,100,42,Bar Yehuda Even,72.78666666666666,64,82
tree,100,42,Bar Yehuda Even,72.88,62,80
tree,100,42,Bar Yehuda Even,72.67333333333333,66,82
tree,100,42,Bar Yehuda Even,73.31333333333333,64,82
tree,100,42,Bar Yehuda Even,72.88,62,80
tree,100,42,Bar Yehuda Even,72.76,66,80
tree,200,88,Bar Yehuda Even,151.25333333333333,140,162
tree,200,88,Bar Yehuda Even,151.30666666666667,140,166
tree,200,88,Bar Yehuda Even,151.54,140,164
tree,200,88,Bar Yehuda Even,151.12,138,162
tree,200,88,Bar Yehuda Even,151.86,140,162
tree,200,88,Bar Yehuda Even,151.61333333333334,140,164
tree,200,88,Bar Yehuda Even,151.36666666666667,138,162
tree,200,88,Bar Yehuda Even,151.36666666666667,140,166
tree,200,88,Bar Yehuda Even,151.46666666666667,136,162
tree,200,88,Bar Yehuda Even,151.53333333333333,142,164
tree,350,149,Bar Yehuda Even,254.99333333333334,238,270
tree,350,149,Bar Yehuda Even,255.25333333333333,240,270
tree,350,149,Bar Yehuda Even,254.96,236,272
tree,350,149,Bar Yehuda Even,255.42666666666668,234,274
tree,350,149,Bar Yehuda Even,255.35333333333332,238,274
tree,350,149,Bar Yehuda Even,254.66,238,272
tree,350,149,Bar Yehuda Even,255.37333333333333,236,272
tree,350,149,Bar Yehuda Even,255.34,240,272
tree,350,149,Bar Yehuda Even,255.31333333333333,236,270
tree,350,149,Bar Yehuda Even,255.16,240,272
