Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,Degree Reduction,24.0,24,24
tree,50,23,Degree Reduction,24.0,24,24
tree,50,23,Degree Reduction,24.0,24,24
tree,50,23,Degree Reduction,24.0,24,24
tree,50,23,Degree Reduction,24.0,24,24
tree,50,23,Degree Reduction,24.0,24,24
tree,50,23,Degree Reduction,24.0,24,24
tree,50,23,Degree Reduction,24.0,24,24
tree,50,23,Degree Reduction,24.0,24,24
tree,50,23,Degree Reduction,24.0,24,24
tree,100,42,Degree Reduction,43.0,43,43
tree,100,42,Degree Reduction,43.0,43,43
tree,100,42,Degree Reduction,43.0,43,43
tree,100,42,Degree Reduction,43.0,43,43
tree,100,42,Degree Reduction,43.0,43,43
tree,100,42,Degree Reduction,43.0,43,43
tree,100,42,Degree Reduction,43.0,43,43
tree,100,42,Degree Reduction,43.0,43,43
tree,100,42,Degree Reduction,43.0,43,43
tree,100,42,Degree Reduction,43.0,43,43
tree,200,88,Degree Reduction,93.0,93,93
tree,200,88,Degree Reduction,93.0,93,93
tree,200,88,Degree Reduction,93.0,93,93
tree,200,88,Degree Reduction,93.0,93,93
tree,200,88,Degree Reduction,93.0,93,93
tree,200,88,Degree Reduction,93.0,93,93
tree,200,88,Degree Reduction,93.0,93,93
tree,200,88,Degree Reduction,93.0,93,93
tree,200,88,Degree Reduction,93.0,93,93
tree,200,88,Degree Reduction,93.0,93,93
tree,350,149,Degree Reduction,154.0,154,154
tree,350,149,Degree Reduction,154.0,154,154
tree,350,149,Degree Reduction,154.0,154,154
tree,350,149,Degree Reduction,154.0,154,154
tree,350,149,Degree Reduction,154.0,154,154
tree,350,149,Degree Reduction,154.0,154,154
tree,350,149,Degree Reduction,154.0,154,154
tree,350,149,Degree Reduction,154.0,154,154
tree,350,149,Degree Reduction,154.0,154,154
tree,350,149,Degree Reduction,154.0,154,154
