Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,Edge Deletion,26.95,24,31
tree,50,23,Edge Deletion,26.923333333333332,23,31
tree,50,23,Edge Deletion,26.95,23,31
tree,50,23,Edge Deletion,27.19,24,32
tree,50,23,Edge Deletion,27.093333333333334,24,31
tree,50,23,Edge Deletion,26.98,23,31
tree,50,23,Edge Deletion,27.016666666666666,24,32
tree,50,23,Edge Deletion,26.903333333333332,23,31
tree,50,23,Edge Deletion,26.9,24,31
tree,50,23,Edge Deletion,27.003333333333334,23,31
tree,100,42,Edge Deletion,50.79666666666667,44,58
tree,100,42,Edge Deletion,50.516666666666666,43,57
tree,100,42,Edge Deletion,50.56666666666667,44,56
tree,100,42,Edge Deletion,50.67333333333333,46,57
tree,100,42,Edge Deletion,50.55,45,57
tree,100,42,Edge Deletion,50.89333333333333,45,58
tree,100,42,Edge Deletion,50.61666666666667,45,58
tree,100,42,Edge Deletion,50.46666666666667,45,57
tree,100,42,Edge Deletion,50.61,45,57
tree,100,42,Edge Deletion,50.51,45,57
tree,200,88,Edge Deletion,103.20666666666666,97,113
tree,200,88,Edge Deletion,103.10666666666667,97,110
tree,200,88,Edge Deletion,102.69333333333333,96,111
tree,200,88,Edge Deletion,102.89,96,111
tree,200,88,Edge Deletion,102.93333333333334,97,110
tree,200,88,Edge Deletion,103.01333333333334,96,110
tree,200,88,Edge Deletion,102.89,96,110
tree,200,88,Edge Deletion,102.94333333333333,96,110
tree,200,88,Edge Deletion,102.78666666666666,98,110
tree,200,88,Edge Deletion,103.02,96,109
tree,350,149,Edge Deletion,174.10333333333332,165,185
tree,350,149,Edge Deletion,173.92333333333335,163,184
tree,350,149,Edge Deletion,173.86666666666667,163,183
tree,350,149,Edge Deletion,173.92333333333335,163,185
tree,350,149,Edge Deletion,174.26,164,184
tree,350,149,Edge Deletion,173.96666666666667,165,184
tree,350,149,Edge Deletion,174.03666666666666,165,182
tree,350,149,Edge Deletion,173.68666666666667,164,183
tree,350,149,Edge Deletion,173.89333333333335,164,185
tree,350,149,Edge Deletion,174.01333333333332,166,183
