Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,ILS,23.0,23,23
tree,50,23,ILS,23.0,23,23
tree,50,23,ILS,23.0,23,23
tree,50,23,ILS,23.0,23,23
tree,50,23,ILS,23.0,23,23
tree,50,23,ILS,23.0,23,23
tree,50,23,ILS,23.0,23,23
tree,50,23,ILS,23.0,23,23
tree,50,23,ILS,23.0,23,23
tree,50,23,ILS,23.0,23,23
tree,100,42,ILS,43.32,43,44
tree,100,42,ILS,43.376666666666665,43,44
tree,100,42,ILS,43.33,43,44
tree,100,42,ILS,43.33,43,44
tree,100,42,ILS,43.31666666666667,42,44
tree,100,42,ILS,43.373333333333335,43,44
tree,100,42,ILS,43.34,43,44
tree,100,42,ILS,43.343333333333334,43,44
tree,100,42,ILS,43.36333333333334,43,44
tree,100,42,ILS,43.27,43,44
tree,200,88,ILS,91.73333333333333,91,94
tree,200,88,ILS,91.68,91,94
tree,200,88,ILS,91.63666666666667,91,94
tree,200,88,ILS,91.7,91,93
tree,200,88,ILS,91.69666666666667,91,94
tree,200,88,ILS,91.62666666666667,91,94
tree,200,88,ILS,91.71666666666667,91,94
tree,200,88,ILS,91.67,91,94
tree,200,88,ILS,91.67666666666666,91,94
tree,200,88,ILS,91.63,91,94
tree,350,149,ILS,153.06333333333333,152,156
tree,350,149,ILS,153.09,152,156
tree,350,149,ILS,153.1,152,155
tree,350,149,ILS,153.11,152,156
tree,350,149,ILS,153.05666666666667,152,156
tree,350,149,ILS,153.15333333333334,152,156
tree,350,149,ILS,153.13666666666666,152,156
tree,350,149,ILS,153.07,152,156
tree,350,149,ILS,153.20666666666668,152,156
tree,350,149,ILS,153.13333333333333,152,156
