Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,Local Search,23.0,23,23
tree,50,23,Local Search,23.0,23,23
tree,50,23,Local Search,23.0,23,23
tree,50,23,Local Search,23.0,23,23
tree,50,23,Local Search,23.0,23,23
tree,50,23,Local Search,23.0,23,23
tree,50,23,Local Search,23.0,23,23
tree,50,23,Local Search,23.0,23,23
tree,50,23,Local Search,23.0,23,23
tree,50,23,Local Search,23.0,23,23
tree,100,42,Local Search,43.336666666666666,43,44
tree,100,42,Local Search,43.31,43,44
tree,100,42,Local Search,43.35,43,44
tree,100,42,Local Search,43.376666666666665,43,44
tree,100,42,Local Search,43.333333333333336,43,44
tree,100,42,Local Search,43.31333333333333,43,44
tree,100,42,Local Search,43.32,43,44
tree,100,42,Local Search,43.303333333333335,43,44
tree,100,42,Local Search,43.35666666666667,43,44
tree,100,42,Local Search,43.36666666666667,43,44
tree,200,88,Local Search,91.75666666666666,91,94
tree,200,88,Local Search,91.68,91,94
tree,200,88,Local Search,91.73333333333333,91,94
tree,200,88,Local Search,91.62666666666667,91,94
tree,200,88,Local Search,91.67333333333333,91,94
tree,200,88,Local Search,91.66333333333333,91,94
tree,200,88,Local Search,91.7,91,94
tree,200,88,Local Search,91.68,91,94
tree,200,88,Local Search,91.64333333333333,91,94
tree,200,88,Local Search,91.71,91,94
tree,350,149,Local Search,153.08333333333334,152,156
tree,350,149,Local Search,153.21666666666667,152,156
tree,350,149,Local Search,153.11333333333334,152,156
tree,350,149,Local Search,153.1,152,156
tree,350,149,Local Search,153.11666666666667,152,156
tree,350,149,Local Search,153.10333333333332,152,156
tree,350,149,Local Search,153.06,152,155
tree,350,149,Local Search,153.11666666666667,152,156
tree,350,149,Local Search,153.10666666666665,152,155
tree,350,149,Local Search,153.14666666666668,152,156
