Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,Local Search Ratio,26.98,23,31
tree,50,23,Local Search Ratio,26.866666666666667,24,32
tree,50,23,Local Search Ratio,26.993333333333332,23,31
tree,50,23,Local Search Ratio,27.123333333333335,23,32
tree,50,23,Local Search Ratio,26.963333333333335,23,30
tree,50,23,Local Search Ratio,26.946666666666665,24,32
tree,50,23,Local Search Ratio,27.043333333333333,24,31
tree,50,23,Local Search Ratio,26.876666666666665,23,31
tree,50,23,Local Search Ratio,27.03,24,31
tree,50,23,Local Search Ratio,26.94,24,31
tree,100,42,Local Search Ratio,50.486666666666665,44,57
tree,100,42,Local Search Ratio,50.74333333333333,45,59
tree,100,42,Local Search Ratio,50.77,45,56
tree,100,42,Local Search Ratio,50.58,45,56
tree,100,42,Local Search Ratio,50.46,44,57
tree,100,42,Local Search Ratio,50.54333333333334,45,58
tree,100,42,Local Search Ratio,50.526666666666664,44,57
tree,100,42,Local Search Ratio,50.58,45,57
tree,100,42,Local Search Ratio,50.443333333333335,45,58
tree,100,42,Local Search Ratio,50.57666666666667,45,57
tree,200,88,Local Search Ratio,102.88333333333334,97,110
tree,200,88,Local Search Ratio,103.08666666666667,96,110
tree,200,88,Local Search Ratio,103.07,97,110
tree,200,88,Local Search Ratio,103.09,97,110
tree,200,88,Local Search Ratio,102.99666666666667,96,111
tree,200,88,Local Search Ratio,103.02,97,111
tree,200,88,Local Search Ratio,102.94,98,111
tree,200,88,Local Search Ratio,103.02666666666667,97,111
tree,200,88,Local Search Ratio,102.52,95,109
tree,200,88,Local Search Ratio,103.04666666666667,96,111
tree,350,149,Local Search Ratio,173.83,164,185
tree,350,149,Local Search Ratio,174.05666666666667,164,181
tree,350,149,Local Search Ratio,174.19,165,185
tree,350,149,Local Search Ratio,173.92333333333335,165,183
tree,350,149,Local Search Ratio,173.89666666666668,165,182
tree,350,149,Local Search Ratio,173.97333333333333,166,182
tree,350,149,Local Search Ratio,174.00333333333333,165,184
tree,350,149,Local Search Ratio,173.94,162,185
tree,350,149,Local Search Ratio,174.41,165,185
tree,350,149,Local Search Ratio,173.83,165,184
