Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,LP Rounding,23.0,23,23
tree,50,23,LP Rounding,23.0,23,23
tree,50,23,LP Rounding,23.0,23,23
tree,50,23,LP Rounding,23.0,23,23
tree,50,23,LP Rounding,23.0,23,23
tree,50,23,LP Rounding,23.0,23,23
tree,50,23,LP Rounding,23.0,23,23
tree,50,23,LP Rounding,23.0,23,23
tree,50,23,LP Rounding,23.0,23,23
tree,50,23,LP Rounding,23.0,23,23
tree,100,42,LP Rounding,42.0,42,42
tree,100,42,LP Rounding,42.0,42,42
tree,100,42,LP Rounding,42.0,42,42
tree,100,42,LP Rounding,42.0,42,42
tree,100,42,LP Rounding,42.0,42,42
tree,100,42,LP Rounding,42.0,42,42
tree,100,42,LP Rounding,42.0,42,42
tree,100,42,LP Rounding,42.0,42,42
tree,100,42,LP Rounding,42.0,42,42
tree,100,42,LP Rounding,42.0,42,42
tree,200,88,LP Rounding,88.0,88,88
tree,200,88,LP Rounding,88.0,88,88
tree,200,88,LP Rounding,88.0,88,88
tree,200,88,LP Rounding,88.0,88,88
tree,200,88,LP Rounding,88.0,88,88
tree,200,88,LP Rounding,88.0,88,88
tree,200,88,LP Rounding,88.0,88,88
tree,200,88,LP Rounding,88.0,88,88
tree,200,88,LP Rounding,88.0,88,88
tree,200,88,LP Rounding,88.0,88,88
tree,350,149,LP Rounding,149.0,149,149
tree,350,149,LP Rounding,149.0,149,149
tree,350,149,LP Rounding,149.0,149,149
tree,350,149,LP Rounding,149.0,149,149
tree,350,149,LP Rounding,149.0,149,149
tree,350,149,LP Rounding,149.0,149,149
tree,350,149,LP Rounding,149.0,149,149
tree,350,149,LP Rounding,149.0,149,149
tree,350,149,LP Rounding,149.0,149,149
tree,350,149,LP Rounding,149.0,149,149
