Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,Matching Based,44.0,44,44
tree,50,23,Matching Based,44.0,44,44
tree,50,23,Matching Based,44.0,44,44
tree,50,23,Matching Based,44.0,44,44
tree,50,23,Matching Based,44.0,44,44
tree,50,23,Matching Based,44.0,44,44
tree,50,23,Matching Based,44.0,44,44
tree,50,23,Matching Based,44.0,44,44
tree,50,23,Matching Based,44.0,44,44
tree,50,23,Matching Based,44.0,44,44
tree,100,42,Matching Based,72.0,72,72
tree,100,42,Matching Based,72.0,72,72
tree,100,42,Matching Based,72.0,72,72
tree,100,42,Matching Based,72.0,72,72
tree,100,42,Matching Based,72.0,72,72
tree,100,42,Matching Based,72.0,72,72
tree,100,42,Matching Based,72.0,72,72
tree,100,42,Matching Based,72.0,72,72
tree,100,42,Matching Based,72.0,72,72
tree,100,42,Matching Based,72.0,72,72
tree,200,88,Matching Based,166.0,166,166
tree,200,88,Matching Based,166.0,166,166
tree,200,88,Matching Based,166.0,166,166
tree,200,88,Matching Based,166.0,166,166
tree,200,88,Matching Based,166.0,166,166
tree,200,88,Matching Based,166.0,166,166
tree,200,88,Matching Based,166.0,166,166
tree,200,88,Matching Based,166.0,166,166
tree,200,88,Matching Based,166.0,166,166
tree,200,88,Matching Based,166.0,166,166
tree,350,149,Matching Based,260.0,260,260
tree,350,149,Matching Based,260.0,260,260
tree,350,149,Matching Based,260.0,260,260
tree,350,149,Matching Based,260.0,260,260
tree,350,149,Matching Based,260.0,260,260
tree,350,149,Matching Based,260.0,260,260
tree,350,149,Matching Based,260.0,260,260
tree,350,149,Matching Based,260.0,260,260
tree,350,149,Matching Based,260.0,260,260
tree,350,149,Matching Based,260.0,260,260
