Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,Memetic,6.52,3,8
tree,50,23,Memetic,6.523333333333333,4,8
tree,50,23,Memetic,6.513333333333334,2,32
tree,50,23,Memetic,6.51,3,35
tree,50,23,Memetic,6.3566666666666665,2,8
tree,50,23,Memetic,6.453333333333333,3,8
tree,50,23,Memetic,6.62,2,35
tree,50,23,Memetic,6.406666666666666,3,8
tree,50,23,Memetic,6.73,4,34
tree,50,23,Memetic,6.5,3,38
tree,100,42,Memetic,22.453333333333333,16,26
tree,100,42,Memetic,22.563333333333333,17,26
tree,100,42,Memetic,22.453333333333333,17,25
tree,100,42,Memetic,22.52,17,25
tree,100,42,Memetic,22.643333333333334,16,26
tree,100,42,Memetic,22.533333333333335,17,25
tree,100,42,Memetic,22.666666666666668,18,27
tree,100,42,Memetic,22.63,18,26
tree,100,42,Memetic,22.57,17,26
tree,100,42,Memetic,22.546666666666667,16,26
tree,200,88,Memetic,60.37,53,66
tree,200,88,Memetic,60.526666666666664,53,65
tree,200,88,Memetic,60.51,55,65
tree,200,88,Memetic,60.236666666666665,50,65
tree,200,88,Memetic,60.403333333333336,54,65
tree,200,88,Memetic,60.42,52,66
tree,200,88,Memetic,60.14666666666667,53,66
tree,200,88,Memetic,60.49,54,65
tree,200,88,Memetic,60.46,54,66
tree,200,88,Memetic,60.54333333333334,53,65
tree,350,149,Memetic,122.03,111,128
tree,350,149,Memetic,121.94,109,129
tree,350,149,Memetic,121.95666666666666,111,129
tree,350,149,Memetic,121.87,110,128
tree,350,149,Memetic,122.33333333333333,110,129
tree,350,149,Memetic,122.13666666666667,112,130
tree,350,149,Memetic,122.33333333333333,113,128
tree,350,149,Memetic,122.45666666666666,109,130
tree,350,149,Memetic,122.22,113,129
tree,350,149,Memetic,122.44,106,128
