Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,Minimum Degree Greedy,49.0,49,49
tree,50,23,Minimum Degree Greedy,49.0,49,49
tree,50,23,Minimum Degree Greedy,49.0,49,49
tree,50,23,Minimum Degree Greedy,49.0,49,49
tree,50,23,Minimum Degree Greedy,49.0,49,49
tree,50,23,Minimum Degree Greedy,49.0,49,49
tree,50,23,Minimum Degree Greedy,49.0,49,49
tree,50,23,Minimum Degree Greedy,49.0,49,49
tree,50,23,Minimum Degree Greedy,49.0,49,49
tree,50,23,Minimum Degree Greedy,49.0,49,49
tree,100,42,Minimum Degree Greedy,99.0,99,99
tree,100,42,Minimum Degree Greedy,99.0,99,99
tree,100,42,Minimum Degree Greedy,99.0,99,99
tree,100,42,Minimum Degree Greedy,99.0,99,99
tree,100,42,Minimum Degree Greedy,99.0,99,99
tree,100,42,Minimum Degree Greedy,99.0,99,99
tree,100,42,Minimum Degree Greedy,99.0,99,99
tree,100,42,Minimum Degree Greedy,99.0,99,99
tree,100,42,Minimum Degree Greedy,99.0,99,99
tree,100,42,Minimum Degree Greedy,99.0,99,99
tree,200,88,Minimum Degree Greedy,199.0,199,199
tree,200,88,Minimum Degree Greedy,199.0,199,199
tree,200,88,Minimum Degree Greedy,199.0,199,199
tree,200,88,Minimum Degree Greedy,199.0,199,199
tree,200,88,Minimum Degree Greedy,199.0,199,199
tree,200,88,Minimum Degree Greedy,199.0,199,199
tree,200,88,Minimum Degree Greedy,199.0,199,199
tree,200,88,Minimum Degree Greedy,199.0,199,199
tree,200,88,Minimum Degree Greedy,199.0,199,199
tree,200,88,Minimum Degree Greedy,199.0,199,199
tree,350,149,Minimum Degree Greedy,349.0,349,349
tree,350,149,Minimum Degree Greedy,349.0,349,349
tree,350,149,Minimum Degree Greedy,349.0,349,349
tree,350,149,Minimum Degree Greedy,349.0,349,349
tree,350,149,Minimum Degree Greedy,349.0,349,349
tree,350,149,Minimum Degree Greedy,349.0,349,349
tree,350,149,Minimum Degree Greedy,349.0,349,349
tree,350,149,Minimum Degree Greedy,349.0,349,349
tree,350,149,Minimum Degree Greedy,349.0,349,349
tree,350,149,Minimum Degree Greedy,349.0,349,349
