Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,Primal Dual,44.0,44,44
tree,50,23,Primal Dual,44.0,44,44
tree,50,23,Primal Dual,44.0,44,44
tree,50,23,Primal Dual,44.0,44,44
tree,50,23,Primal Dual,44.0,44,44
tree,50,23,Primal Dual,44.0,44,44
tree,50,23,Primal Dual,44.0,44,44
tree,50,23,Primal Dual,44.0,44,44
tree,50,23,Primal Dual,44.0,44,44
tree,50,23,Primal Dual,44.0,44,44
tree,100,42,Primal Dual,72.0,72,72
tree,100,42,Primal Dual,72.0,72,72
tree,100,42,Primal Dual,72.0,72,72
tree,100,42,Primal Dual,72.0,72,72
tree,100,42,Primal Dual,72.0,72,72
tree,100,42,Primal Dual,72.0,72,72
tree,100,42,Primal Dual,72.0,72,72
tree,100,42,Primal Dual,72.0,72,72
tree,100,42,Primal Dual,72.0,72,72
tree,100,42,Primal Dual,72.0,72,72
tree,200,88,Primal Dual,166.0,166,166
tree,200,88,Primal Dual,166.0,166,166
tree,200,88,Primal Dual,166.0,166,166
tree,200,88,Primal Dual,166.0,166,166
tree,200,88,Primal Dual,166.0,166,166
tree,200,88,Primal Dual,166.0,166,166
tree,200,88,Primal Dual,166.0,166,166
tree,200,88,Primal Dual,166.0,166,166
tree,200,88,Primal Dual,166.0,166,166
tree,200,88,Primal Dual,166.0,166,166
tree,350,149,Primal Dual,260.0,260,260
tree,350,149,Primal Dual,260.0,260,260
tree,350,149,Primal Dual,260.0,260,260
tree,350,149,Primal Dual,260.0,260,260
tree,350,149,Primal Dual,260.0,260,260
tree,350,149,Primal Dual,260.0,260,260
tree,350,149,Primal Dual,260.0,260,260
tree,350,149,Primal Dual,260.0,260,260
tree,350,149,Primal Dual,260.0,260,260
tree,350,149,Primal Dual,260.0,260,260
