Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,PSO,8.723333333333333,4,12
tree,50,23,PSO,8.666666666666666,4,11
tree,50,23,PSO,8.886666666666667,5,12
tree,50,23,PSO,8.8,4,11
tree,50,23,PSO,8.76,4,12
tree,50,23,PSO,8.696666666666667,5,12
tree,50,23,PSO,8.886666666666667,5,11
tree,50,23,PSO,8.693333333333333,4,11
tree,50,23,PSO,8.756666666666666,4,11
tree,50,23,PSO,8.68,5,11
tree,100,42,PSO,26.236666666666668,18,31
tree,100,42,PSO,26.52,21,30
tree,100,42,PSO,26.393333333333334,21,30
tree,100,42,PSO,26.44333333333333,21,31
tree,100,42,PSO,26.316666666666666,19,30
tree,100,42,PSO,26.37,21,30
tree,100,42,PSO,26.42,19,30
tree,100,42,PSO,26.393333333333334,19,30
tree,100,42,PSO,26.416666666666668,20,31
tree,100,42,PSO,26.35,20,30
tree,200,88,PSO,66.14333333333333,58,72
tree,200,88,PSO,66.01666666666667,54,72
tree,200,88,PSO,65.87,55,73
tree,200,88,PSO,66.05666666666667,56,71
tree,200,88,PSO,66.38666666666667,57,73
tree,200,88,PSO,66.13,58,73
tree,200,88,PSO,65.90666666666667,57,73
tree,200,88,PSO,66.12666666666667,59,71
tree,200,88,PSO,66.10666666666667,53,72
tree,200,88,PSO,65.91333333333333,55,72
tree,350,149,PSO,129.78333333333333,119,139
tree,350,149,PSO,129.85333333333332,117,137
tree,350,149,PSO,129.68333333333334,113,138
tree,350,149,PSO,130.04666666666665,121,138
tree,350,149,PSO,129.50666666666666,115,138
tree,350,149,PSO,129.64333333333335,119,138
tree,350,149,PSO,130.05666666666667,116,138
tree,350,149,PSO,129.92666666666668,118,138
tree,350,149,PSO,129.5,117,140
tree,350,149,PSO,130.05333333333334,120,138
