Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,Harmony Search,12.156666666666666,7,17
tree,50,23,Harmony Search,11.93,7,18
tree,50,23,Harmony Search,12.02,6,18
tree,50,23,Harmony Search,12.22,5,32
tree,50,23,Harmony Search,12.02,3,17
tree,50,23,Harmony Search,12.206666666666667,7,17
tree,50,23,Harmony Search,11.896666666666667,6,16
tree,50,23,Harmony Search,12.36,6,35
tree,50,23,Harmony Search,11.966666666666667,6,17
tree,50,23,Harmony Search,12.25,6,36
tree,100,42,Harmony Search,31.73,22,40
tree,100,42,Harmony Search,31.706666666666667,22,40
tree,100,42,Harmony Search,31.39,21,38
tree,100,42,Harmony Search,31.233333333333334,23,38
tree,100,42,Harmony Search,31.52,24,39
tree,100,42,Harmony Search,31.113333333333333,19,38
tree,100,42,Harmony Search,31.256666666666668,23,38
tree,100,42,Harmony Search,31.26,22,41
tree,100,42,Harmony Search,31.553333333333335,22,40
tree,100,42,Harmony Search,31.33,21,37
tree,200,88,Harmony Search,73.73666666666666,57,84
tree,200,88,Harmony Search,73.96666666666667,56,85
tree,200,88,Harmony Search,73.44666666666667,63,84
tree,200,88,Harmony Search,73.90333333333334,61,89
tree,200,88,Harmony Search,73.65666666666667,60,85
tree,200,88,Harmony Search,72.97,59,84
tree,200,88,Harmony Search,72.93666666666667,61,84
tree,200,88,Harmony Search,73.51666666666667,61,87
tree,200,88,Harmony Search,73.47666666666667,62,85
tree,200,88,Harmony Search,73.65,61,86
tree,350,149,Harmony Search,140.08666666666667,124,154
tree,350,149,Harmony Search,139.29666666666665,121,162
tree,350,149,Harmony Search,139.65333333333334,114,156
tree,350,149,Harmony Search,140.03,119,155
tree,350,149,Harmony Search,139.39666666666668,120,153
tree,350,149,Harmony Search,140.02,120,156
tree,350,149,Harmony Search,139.31666666666666,123,153
tree,350,149,Harmony Search,139.23666666666668,123,158
tree,350,149,Harmony Search,139.46,120,157
tree,350,149,Harmony Search,139.81333333333333,115,156
