Graph,Nodes,Optimal_Size,Heuristic,Average_Size,Best_Size,Worst_Size
tree,50,23,VNS,25.793333333333333,23,31
tree,50,23,VNS,25.553333333333335,23,30
tree,50,23,VNS,25.676666666666666,23,32
tree,50,23,VNS,25.733333333333334,23,30
tree,50,23,VNS,25.57,23,30
tree,50,23,VNS,25.643333333333334,23,31
tree,50,23,VNS,25.75,23,31
tree,50,23,VNS,25.596666666666668,23,31
tree,50,23,VNS,25.623333333333335,23,32
tree,50,23,VNS,25.496666666666666,23,31
tree,100,42,VNS,48.81666666666667,42,57
tree,100,42,VNS,48.69,42,56
tree,100,42,VNS,48.76,42,56
tree,100,42,VNS,49.03666666666667,42,56
tree,100,42,VNS,48.73,42,58
tree,100,42,VNS,48.64333333333333,43,56
tree,100,42,VNS,48.85333333333333,43,58
tree,100,42,VNS,48.62,42,56
tree,100,42,VNS,48.596666666666664,42,60
tree,100,42,VNS,48.78333333333333,43,57
tree,200,88,VNS,101.12,91,111
tree,200,88,VNS,101.11,90,109
tree,200,88,VNS,100.34666666666666,90,110
tree,200,88,VNS,100.31333333333333,90,113
tree,200,88,VNS,100.99333333333334,90,109
tree,200,88,VNS,100.06666666666666,91,108
tree,200,88,VNS,101.04666666666667,90,109
tree,200,88,VNS,100.91666666666667,90,112
tree,200,88,VNS,100.84,90,109
tree,200,88,VNS,100.87,90,109
tree,350,149,VNS,170.07,152,185
tree,350,149,VNS,169.95666666666668,152,183
tree,350,149,VNS,169.21333333333334,152,184
tree,350,149,VNS,169.68333333333334,152,183
tree,350,149,VNS,169.78333333333333,152,182
tree,350,149,VNS,170.34666666666666,151,183
tree,350,149,VNS,170.84333333333333,152,182
tree,350,149,VNS,170.25333333333333,152,185
tree,350,149,VNS,170.00333333333333,151,185
tree,350,149,VNS,170.43666666666667,152,185
