id,heuristique_prédite,heuristique_réelle,succès
1,Greedy Independent Cover,Greedy Independent Cover,True
2,Greedy Independent Cover,Greedy Independent Cover,True
3,Greedy Independent Cover,Greedy Independent Cover,True
4,Greedy Independent Cover,Greedy Independent Cover,True
5,Greedy Independent Cover,Greedy Independent Cover,True
37,Greedy Independent Cover,Greedy Independent Cover,True
38,Greedy Independent Cover,Greedy Independent Cover,True
39,Greedy Independent Cover,Greedy Independent Cover,True
40,Greedy Independent Cover,Greedy Independent Cover,True
41,Greedy Independent Cover,Greedy Independent Cover,True
42,Greedy Independent Cover,Greedy Independent Cover,True
43,Greedy Independent Cover,Greedy Independent Cover,True
44,Greedy Independent Cover,Greedy Independent Cover,True
45,Greedy Independent Cover,Greedy Independent Cover,True
46,Greedy Independent Cover,Greedy Independent Cover,True
47,Greedy Independent Cover,Greedy Independent Cover,True
48,Greedy Independent Cover,Greedy Independent Cover,True
49,Greedy Independent Cover,Greedy Independent Cover,True
50,Greedy Independent Cover,Greedy Independent Cover,True
51,Greedy Independent Cover,Greedy Independent Cover,True
52,Greedy Independent Cover,Greedy Independent Cover,True
53,Greedy Independent Cover,Greedy Independent Cover,True
54,Greedy Independent Cover,Greedy Independent Cover,True
55,Greedy Independent Cover,Greedy Independent Cover,True
56,Greedy Independent Cover,Greedy Independent Cover,True
57,Greedy Independent Cover,Greedy Independent Cover,True
58,Greedy Independent Cover,Greedy Independent Cover,True
59,Greedy Independent Cover,Greedy Independent Cover,True
60,Greedy Independent Cover,Greedy Independent Cover,True
61,Greedy Independent Cover,Greedy Independent Cover,True
62,Greedy Independent Cover,Greedy Independent Cover,True
63,Greedy Independent Cover,Greedy Independent Cover,True
64,Greedy Independent Cover,Greedy Independent Cover,True
65,Greedy Independent Cover,Greedy Independent Cover,True
66,Greedy Independent Cover,Greedy Independent Cover,True
67,Greedy Independent Cover,Greedy Independent Cover,True
68,Greedy Independent Cover,Greedy Independent Cover,True
69,Greedy Independent Cover,Greedy Independent Cover,True
70,Greedy Independent Cover,Greedy Independent Cover,True
71,Greedy Independent Cover,Greedy Independent Cover,True
72,Greedy Independent Cover,Greedy Independent Cover,True
73,Greedy Independent Cover,Greedy Independent Cover,True
74,Greedy Independent Cover,Greedy Independent Cover,True
75,Greedy Independent Cover,Greedy Independent Cover,True
76,Greedy Independent Cover,Greedy Independent Cover,True
77,Greedy Independent Cover,Greedy Independent Cover,True
78,Greedy Independent Cover,Greedy Independent Cover,True
79,Greedy Independent Cover,Greedy Independent Cover,True
80,Greedy Independent Cover,Greedy Independent Cover,True
81,Greedy Independent Cover,Greedy Independent Cover,True
82,Greedy Independent Cover,Greedy Independent Cover,True
83,Greedy Independent Cover,Greedy Independent Cover,True
84,Greedy Independent Cover,Greedy Independent Cover,True
85,Greedy Independent Cover,Greedy Independent Cover,True
