id,nb_sommets,nb_aretes,densite,instance_number,max_degree,min_degree,avg_degree,num_deg_one,count_triangles,total_triangles,fraction_closed_triangles,avg_count_triangles,max_count_triangles,min_count_triangles,avg_neighbor_deg,sum_neighbor_deg,degree_assortativity_coefficient,diameter,local_efficiency,avg_neighbor_clustering,avg_clustering_coefficient,is_acyclic,is_bipartite,is_connected,radius,matching_number,largest_eigenvalue,num_components,is_eularian,is_semi_eularian,g_is_planar,twin_free
1,450,83198,0.8235387280376144,1,407,327,369.7688888888889,0,8407905,450,18684.233333333334,101.05897978316787,67480,43919,370.2934128092422,26289.55988973317,-0.029107837631838253,2,0.9105380327217132,0.8210760654434264,0.8210760654434264,0,0,1,2,225,420.6983210447732,1,0,0,0,1
2,450,83151,0.8230734966592428,2,404,333,369.56,0,8390248,450,18644.995555555557,100.90375341246647,66715,45359,370.0031390202453,24051.261488623124,-0.023706083224473345,2,0.9102083347045642,0.8204166694091285,0.8204166694091285,0,0,1,2,225,413.0959997626374,1,0,0,0,1
3,450,83216,0.8237169017569909,3,400,327,369.8488888888889,0,8416205,450,18702.67777777778,101.13686069986541,65214,43740,370.39737980207485,23708.04661755525,-0.032125094526643826,2,0.9107491964400831,0.821498392880166,0.821498392880166,0,0,1,2,225,413.9940296771601,1,0,0,0,1
4,450,83194,0.8234991338777531,4,401,339,369.75111111111113,0,8407958,450,18684.35111111111,101.06447580354353,65780,47236,370.267969184276,22215.885046454823,-0.029354638696169024,2,0.9105890990043467,0.8211781980086934,0.8211781980086934,0,0,1,2,225,413.7315638632505,1,0,0,0,1
5,450,83231,0.8238653798564711,5,403,321,369.91555555555556,0,8428261,450,18729.46888888889,101.263483557809,66448,42498,370.5825114778998,25958.532257634495,-0.04938383832707572,2,0.9111356914081715,0.822271382816343,0.822271382816343,0,0,1,2,225,415.4155739864963,1,0,0,0,1
6,760,247106,0.856757506414257,1,703,581,650.2789473684211,0,45845825,760,60323.45394736842,185.53100693629455,210645,144159,651.188182031244,69035.1688006998,-0.028484955507385452,2,0.92808617729542,0.8561723545908401,0.8561723545908401,0,0,1,2,380,717.5227672740001,1,0,0,0,1
7,760,247157,0.8569343318771236,2,702,588,650.4131578947369,0,45845194,760,60322.62368421053,185.49017021569287,209909,147710,651.1551383641505,69024.9352528063,-0.03499634326012808,2,0.9280169887416255,0.8560339774832508,0.8560339774832508,0,0,1,2,380,719.2662523105398,1,0,0,0,1
8,760,247325,0.857516815754802,3,702,600,650.8552631578947,0,45883228,760,60372.66842105263,185.51795410896594,210224,153388,651.3559719916063,57308.31774560984,-0.021208946780361733,2,0.9279049338108714,0.8558098676217428,0.8558098676217428,0,0,1,2,380,716.2291777408894,1,0,0,0,1
9,1150,580603,0.8788027396223559,1,1065,941,1009.7443478260869,0,171489609,1150,149121.3991304348,295.3646622563094,496139,388319,1010.3649708107171,117203.82638785244,-0.022007049276122487,2,0.9389577348594121,0.8779154697188243,0.8779154697188243,0,0,1,2,575,1091.5093919028704,1,0,0,0,1
10,1150,579824,0.8776236424868505,2,1074,922,1008.3895652173914,0,170830157,1150,148547.96260869564,294.62415664063576,504621,373233,1009.047851872641,138238.91914670638,-0.020204886497450825,2,0.9384282378045118,0.8768564756090236,0.8768564756090236,0,0,1,2,575,1094.8574318252383,1,0,0,0,1
11,1150,579607,0.8772951905248421,3,1078,945,1008.0121739130435,0,170531920,1150,148288.62608695653,294.2199110776785,508004,391858,1008.4494992969801,113958.35640110732,-0.02491328385586019,2,0.938084617350725,0.8761692347014499,0.8761692347014499,0,0,1,2,575,1093.6927133935549,1,0,0,0,1
12,1150,580417,0.8785212093692057,4,1071,941,1009.4208695652173,0,171318174,1150,148972.3252173913,295.16394936743757,502654,389046,1010.0539413591923,122237.72094317325,-0.025343971636134607,2,0.9387971066864257,0.8775942133728515,0.8775942133728515,0,0,1,2,575,1091.458461538696,1,0,0,0,1
13,1150,580640,0.8788587429522836,5,1080,922,1009.8086956521739,0,171547480,1150,149171.72173913044,295.44550840451916,510883,373398,1010.4852568434284,131389.29111909625,-0.025265280767204416,2,0.9390314869309552,0.8780629738619105,0.8780629738619105,0,0,1,2,575,1094.1454454786272,1,0,0,0,1
14,1272,714129,0.8834337841248163,1,1185,1039,1122.8443396226414,0,235855331,1272,185420.85770440253,330.26992462146194,619384,475760,1123.5046731225123,147191.6455993185,-0.013004604580644537,2,0.9413480314413699,0.8826960628827399,0.8826960628827399,0,0,1,2,636,1206.2231185274077,1,0,0,0,1
15,1272,714067,0.88335708524462,2,1182,1039,1122.7468553459119,0,235717699,1272,185312.65644654087,330.1058570134175,615325,476806,1123.2893030495673,138189.36226690895,-0.01999212693399953,2,0.941218658298053,0.8824373165961059,0.8824373165961059,0,0,1,2,636,1205.1168777400576,1,0,0,0,1
16,1272,714229,0.8835574919961007,3,1183,1037,1123.001572327044,0,235910910,1272,185464.55188679244,330.30149993909515,616529,474506,1123.5987894635298,149467.8788090111,-0.021076388526696497,2,0.9413618862160591,0.8827237724321181,0.8827237724321181,0,0,1,2,636,1205.893420987229,1,0,0,0,1
17,1272,714048,0.8833335807490759,4,1189,1045,1122.7169811320755,0,235695998,1272,185295.5959119497,330.08424923814647,622152,480778,1123.2776702537228,138157.72485668177,-0.023966862554649818,2,0.9412000038246324,0.8824000076492649,0.8824000076492649,0,0,1,2,636,1211.0591934112035,1,0,0,0,1
18,1272,714130,0.8834350212035291,5,1199,1065,1122.8459119496856,0,235738699,1272,185329.16588050313,330.10614173889905,633071,500379,1123.334871652096,137022.36695552728,-0.0246235480751721,2,0.9412034406803177,0.8824068813606353,0.8824068813606353,0,0,1,2,636,1215.1687890869791,1,0,0,0,1
19,1534,1049256,0.8923679060665362,1,1439,1256,1368.0,0,426536826,1534,278055.29726206,406.5135924883918,921051,703928,1368.6163127364262,210793.00397590024,-0.01484451512224302,2,0.9458744275316611,0.8917488550633224,0.8917488550633224,0,0,1,2,767,1463.9237862233526,1,0,0,0,1
20,1534,1049648,0.8927012929799092,2,1433,1268,1368.511082138201,0,426991871,1534,278351.9367666232,406.79529804277246,914681,716400,1369.1336944754996,202669.44819852893,-0.01662476957492712,2,0.9460154875778487,0.8920309751556975,0.8920309751556975,0,0,1,2,767,1461.129968558891,1,0,0,0,1
21,1534,1049729,0.8927701816023154,3,1455,1275,1368.6166883963494,0,427092642,1534,278417.628422425,406.85990574710235,942732,725403,1369.2411271423541,205384.9088099235,-0.0169481273644854,2,0.9460508111068612,0.8921016222137222,0.8921016222137222,0,0,1,2,767,1469.670802818109,1,0,0,0,1
22,1534,1049829,0.8928552292842983,5,1452,1295,1368.7470664928292,0,427225075,1534,278503.96023468056,406.94729808378315,937881,747145,1369.3976020437624,197180.014591633,-0.022531456055877568,2,0.9461027703155396,0.892205540631079,0.892205540631079,0,0,1,2,767,1474.350285382526,1,0,0,0,1
23,4000,7425226,0.9283853463365841,1,3864,3553,3712.613,0,8528966282,4000,2132241.5705,1148.647365346186,6922343,5861328,3713.4396494132557,1058315.0289241744,-0.01407863038702846,2,0.9641130381154354,0.9282260762308708,0.9282260762308708,0,0,1,2,2000,3897.6532479839707,1,0,0,0,1
24,595,148859,0.84236765413236,1,544,462,500.36638655462184,0,20863070,595,35063.98319327731,140.1532322533404,123925,89696,501.05173739988066,39077.05386526108,-0.041197676885109925,2,0.9205057427426306,0.8410114854852612,0.8410114854852612,0,0,1,2,297,557.9154339774793,1,0,0,0,1
25,595,148868,0.8424185835950542,2,541,460,500.3966386554622,0,20847340,595,35037.5462184874,140.03909503721417,122290,88704,500.9200978779674,37568.684330363845,-0.02939962308637662,2,0.9202324989814231,0.840464997962846,0.840464997962846,0,0,1,2,297,559.1407598894764,1,0,0,0,1
26,595,148784,0.841943241943242,3,549,429,500.1142857142857,0,20857094,595,35053.93949579832,140.18371599096676,126231,77991,500.97929004916995,50122.98885062397,-0.0358331400271586,2,0.9206690088781521,0.8413380177563043,0.8413380177563043,0,0,1,2,297,559.9937150814875,1,0,0,0,1
27,595,148873,0.8424468777409954,4,560,444,500.41344537815127,0,20888482,595,35106.69243697479,140.31074808729588,131119,83040,501.24673675098387,51625.07473183005,-0.0380712763560011,2,0.920829102224182,0.841658204448364,0.841658204448364,0,0,1,2,297,568.804615909694,1,0,0,0,1
28,595,148572,0.8407435701553349,5,550,460,499.4016806722689,0,20741039,595,34858.88907563025,139.60261018226853,126301,88808,500.0324067552065,41492.6917174271,-0.024263917595931408,2,0.9196648617266188,0.8393297234532374,0.8393297234532374,0,0,1,2,297,562.1060895756507,1,0,0,0,1
29,760,246815,0.8557485611261355,4,692,595,649.5131578947369,0,45613087,760,60017.219736842104,184.80678645949396,203956,150964,650.0440399428264,61113.98996130157,-0.034223035105143206,2,0.9271529162218491,0.8543058324436984,0.8543058324436984,0,0,1,2,380,712.4658755534714,1,0,0,0,1
30,760,246801,0.8557000208029957,5,691,585,649.4763157894737,0,45614654,760,60019.28157894737,184.8236190290963,203664,145884,650.0432209692949,61121.731464105724,-0.026019700857833835,2,0.9271798885187988,0.8543597770375976,0.8543597770375976,0,0,1,2,380,710.7852897593227,1,0,0,0,1
31,945,386854,0.8673078647654919,1,876,756,818.7386243386244,0,91405101,945,96724.9746031746,236.2780299544531,331569,247348,819.3103908642499,83569.27613713905,-0.023507045387084227,2,0.9331345406785214,0.8662690813570427,0.8662690813570427,0,0,1,2,472,888.6648213011184,1,0,0,0,1
32,945,387416,0.8685678414491974,2,870,753,819.9280423280424,0,91783557,945,97125.45714285714,236.91214869804034,326917,245859,820.485097440023,84519.04929773907,-0.02923253978972331,2,0.9336781215078854,0.8673562430157709,0.8673562430157709,0,0,1,2,472,890.9311561934855,1,0,0,0,1
33,945,387795,0.8694175410277105,3,872,739,820.7301587301587,0,92068168,945,97426.63280423281,237.41453087327068,329633,237517,821.3264023889885,88713.02594625487,-0.02322395902899623,2,0.9341474093878214,0.8682948187756425,0.8682948187756425,0,0,1,2,472,893.2741415430908,1,0,0,0,1
34,945,387491,0.8687359878037844,4,875,732,820.0867724867725,0,91908572,945,97257.74814814815,237.18892051686362,331229,233288,820.842189227574,98515.34699306932,-0.028104955456623004,2,0.9340093000685541,0.8680186001371081,0.8680186001371081,0,0,1,2,472,895.533973074897,1,0,0,0,1
35,945,387461,0.8686687292619496,5,874,764,820.0232804232804,0,91804314,945,97147.42222222222,236.9382053935751,330516,253635,820.5564338975844,87797.21484794782,-0.025452879510448344,2,0.9336841627644922,0.8673683255289844,0.8673683255289844,0,0,1,2,472,892.8040789433956,1,0,0,0,1
36,1534,745221,0.633793186149815,4,1435,575,971.6049543676662,0,185739304,1534,121081.68448500652,249.24056622129544,640632,143725,1181.2055817172134,258003.70921526704,-0.5448192672860594,2,0.879665649494379,0.759331298988758,0.759331298988758,0,0,1,2,706,1448.230903176735,1,0,0,0,1
37,200,594,0.029849246231155778,1,41,3,5.94,0,131,200,0.655,0.22053872053872053,48,0,11.717918769084479,213.8613799876569,-0.09394107278728474,5,0.10767009386436639,0.08666279716557053,0.08666279716557053,0,0,1,3,100,42.29713422858486,1,0,0,0,1
38,200,594,0.029849246231155778,10,34,3,5.94,0,111,200,0.555,0.18686868686868688,36,0,11.505143554320465,191.6473492083199,-0.12498152525225907,5,0.09179920411721039,0.07962869092496284,0.07962869092496284,0,0,1,3,100,35.490323076537265,1,0,0,0,1
